"","region_code","region_name","region_level","n_species","n_checklists"
"874","US-AK-090","Fairbanks North Star","subnational2",195,8046
"875","US-AK-050","Bethel","subnational2",188,704
"876","US-AK-240","Southeast Fairbanks","subnational2",176,1435
"877","US-AK-290","Yukon-Koyukuk","subnational2",175,1565
"878","US-AK-188","Northwest Arctic","subnational2",169,508
"879","US-AK-070","Dillingham","subnational2",167,213
"880","US-AK-068","Denali","subnational2",165,4611
"881","US-AK-270","Kusilvak","subnational2",159,301
"882","US-AK-013","Aleutians East","subnational2",158,764
"883","US-AK-060","Bristol Bay","subnational2",135,296
"884","US-WA-009","Clallam","subnational2",369,29991
"885","US-WA-057","Skagit","subnational2",362,45896
"886","US-WA-033","King","subnational2",359,125102
"887","US-WA-027","Grays Harbor","subnational2",357,25118
"888","US-WA-061","Snohomish","subnational2",334,34024
"889","US-WA-071","Walla Walla","subnational2",330,12558
"890","US-WA-049","Pacific","subnational2",323,8552
"891","US-WA-073","Whatcom","subnational2",322,25520
"892","US-WA-035","Kitsap","subnational2",318,24225
"893","US-WA-025","Grant","subnational2",315,12212
"894","US-WA-077","Yakima","subnational2",313,24911
"895","US-WA-053","Pierce","subnational2",312,41124
"896","US-WA-067","Thurston","subnational2",310,33137
"897","US-WA-043","Lincoln","subnational2",309,5623
"898","US-WA-005","Benton","subnational2",301,3830
"899","US-WA-031","Jefferson","subnational2",293,16209
"900","US-WA-047","Okanogan","subnational2",290,13978
"901","US-WA-011","Clark","subnational2",289,15294
"902","US-WA-037","Kittitas","subnational2",286,15786
"903","US-WA-029","Island","subnational2",285,13384
"904","US-WA-039","Klickitat","subnational2",284,6431
"905","US-WA-063","Spokane","subnational2",283,17763
"906","US-WA-001","Adams","subnational2",282,4332
"907","US-WA-007","Chelan","subnational2",278,19829
"908","US-WA-021","Franklin","subnational2",275,2437
"909","US-WA-017","Douglas","subnational2",273,6410
"910","US-WA-075","Whitman","subnational2",265,4720
"911","US-WA-065","Stevens","subnational2",264,7626
"912","US-WA-003","Asotin","subnational2",262,2073
"913","US-WA-055","San Juan","subnational2",262,18647
"914","US-WA-015","Cowlitz","subnational2",260,4778
"915","US-WA-051","Pend Oreille","subnational2",254,4487
"916","US-WA-041","Lewis","subnational2",249,5688
"917","US-WA-059","Skamania","subnational2",242,2815
"918","US-WA-045","Mason","subnational2",238,6139
"919","US-WA-019","Ferry","subnational2",234,2715
"920","US-WA-013","Columbia","subnational2",232,1109
"921","US-WA-069","Wahkiakum","subnational2",232,2581
"922","US-WA-023","Garfield","subnational2",223,750
"923","US-MA-001","Barnstable","subnational2",429,104896
"924","US-MA-009","Essex","subnational2",428,114754
"925","US-MA-023","Plymouth","subnational2",388,45153
"926","US-MA-007","Dukes","subnational2",379,5659
"927","US-MA-019","Nantucket","subnational2",365,16580
"928","US-MA-005","Bristol","subnational2",359,23588
"929","US-MA-017","Middlesex","subnational2",348,111995
"930","US-MA-025","Suffolk","subnational2",347,41145
"931","US-MA-021","Norfolk","subnational2",345,39288
"932","US-MA-027","Worcester","subnational2",339,37962
"933","US-MA-015","Hampshire","subnational2",328,49452
"934","US-MA-011","Franklin","subnational2",304,17599
"935","US-MA-003","Berkshire","subnational2",302,24857
"936","US-MA-013","Hampden","subnational2",295,18775
"937","US-CO-069","Larimer","subnational2",418,59322
"938","US-CO-101","Pueblo","subnational2",418,11291
"939","US-CO-013","Boulder","subnational2",408,59957
"940","US-CO-041","El Paso","subnational2",405,32183
"941","US-CO-059","Jefferson","subnational2",385,64438
"942","US-CO-123","Weld","subnational2",385,27457
"943","US-CO-035","Douglas","subnational2",376,29664
"944","US-CO-011","Bent","subnational2",366,4377
"945","US-CO-001","Adams","subnational2",361,17152
"946","US-CO-005","Arapahoe","subnational2",354,28618
"947","US-CO-099","Prowers","subnational2",352,11287
"948","US-CO-121","Washington","subnational2",340,3456
"949","US-CO-075","Logan","subnational2",338,5192
"950","US-CO-089","Otero","subnational2",335,3058
"951","US-CO-125","Yuma","subnational2",335,4128
"952","US-CO-009","Baca","subnational2",332,3937
"953","US-CO-087","Morgan","subnational2",332,4987
"954","US-CO-077","Mesa","subnational2",330,15030
"955","US-CO-043","Fremont","subnational2",326,8261
"956","US-CO-061","Kiowa","subnational2",322,2572
"957","US-CO-025","Crowley","subnational2",310,1499
"958","US-CO-073","Lincoln","subnational2",310,3242
"959","US-CO-115","Sedgwick","subnational2",310,1501
"960","US-CO-031","Denver","subnational2",307,17546
"961","US-CO-029","Delta","subnational2",304,3659
"962","US-CO-067","La Plata","subnational2",303,4640
"963","US-CO-055","Huerfano","subnational2",298,1534
"964","US-CO-071","Las Animas","subnational2",289,1691
"965","US-CO-063","Kit Carson","subnational2",288,1929
"966","US-CO-027","Custer","subnational2",287,1424
"967","US-CO-015","Chaffee","subnational2",282,3908
"968","US-CO-093","Park","subnational2",280,9915
"969","US-CO-085","Montrose","subnational2",275,3599
"970","US-CO-003","Alamosa","subnational2",274,6453
"971","US-CO-107","Routt","subnational2",274,5264
"972","US-CO-081","Moffat","subnational2",273,3429
"973","US-CO-083","Montezuma","subnational2",269,3165
"974","US-CO-039","Elbert","subnational2",261,3861
"975","US-CO-057","Jackson","subnational2",260,6487
"976","US-CO-014","Broomfield","subnational2",255,4392
"977","US-CO-007","Archuleta","subnational2",254,3029
"978","US-CO-051","Gunnison","subnational2",254,6294
"979","US-CO-037","Eagle","subnational2",253,3472
"980","US-CO-095","Phillips","subnational2",253,2130
"981","US-CO-105","Rio Grande","subnational2",247,1509
"982","US-CO-049","Grand","subnational2",245,4551
"983","US-CO-045","Garfield","subnational2",241,3222
"984","US-CO-109","Saguache","subnational2",236,2219
"985","US-CO-091","Ouray","subnational2",234,1586
"986","US-CO-117","Summit","subnational2",234,6179
"987","US-CO-021","Conejos","subnational2",232,771
"988","US-CO-017","Cheyenne","subnational2",230,1768
"989","US-CO-113","San Miguel","subnational2",230,1182
"990","US-CO-103","Rio Blanco","subnational2",229,868
"991","US-CO-023","Costilla","subnational2",228,538
"992","US-CO-119","Teller","subnational2",226,3674
"993","US-CO-065","Lake","subnational2",213,892
"994","US-CO-019","Clear Creek","subnational2",200,4532
"995","US-CO-033","Dolores","subnational2",196,354
"996","US-CO-097","Pitkin","subnational2",194,1525
"997","US-CO-053","Hinsdale","subnational2",185,903
"998","US-CO-079","Mineral","subnational2",178,536
"999","US-CO-047","Gilpin","subnational2",174,1438
"1000","US-CO-111","San Juan","subnational2",144,452
"1001","US-NY-103","Suffolk","subnational2",414,125169
"1002","US-NY-059","Nassau","subnational2",367,45726
"1003","US-NY-047","Kings","subnational2",359,47996
"1004","US-NY-081","Queens","subnational2",358,30866
"1005","US-NY-055","Monroe","subnational2",351,73461
"1006","US-NY-085","Richmond","subnational2",347,49153
"1007","US-NY-075","Oswego","subnational2",338,21748
"1008","US-NY-109","Tompkins","subnational2",338,142299
"1009","US-NY-119","Westchester","subnational2",332,40539
"1010","US-NY-029","Erie","subnational2",329,31299
"1011","US-NY-061","New York","subnational2",321,55783
"1012","US-NY-063","Niagara","subnational2",319,14167
"1013","US-NY-071","Orange","subnational2",314,19706
"1014","US-NY-011","Cayuga","subnational2",308,17555
"1015","US-NY-117","Wayne","subnational2",308,24654
"1016","US-NY-013","Chautauqua","subnational2",307,10834
"1017","US-NY-045","Jefferson","subnational2",306,16094
"1018","US-NY-067","Onondaga","subnational2",304,31036
"1019","US-NY-099","Seneca","subnational2",303,36547
"1020","US-NY-037","Genesee","subnational2",295,9167
"1021","US-NY-001","Albany","subnational2",290,24815
"1022","US-NY-111","Ulster","subnational2",290,20944
"1023","US-NY-089","St. Lawrence","subnational2",289,12060
"1024","US-NY-105","Sullivan","subnational2",287,12119
"1025","US-NY-091","Saratoga","subnational2",286,17713
"1026","US-NY-005","Bronx","subnational2",285,7681
"1027","US-NY-027","Dutchess","subnational2",283,27316
"1028","US-NY-065","Oneida","subnational2",282,19039
"1029","US-NY-073","Orleans","subnational2",280,7033
"1030","US-NY-069","Ontario","subnational2",278,25270
"1031","US-NY-007","Broome","subnational2",277,33158
"1032","US-NY-031","Essex","subnational2",274,14326
"1033","US-NY-019","Clinton","subnational2",273,3063
"1034","US-NY-087","Rockland","subnational2",271,8611
"1035","US-NY-039","Greene","subnational2",270,7198
"1036","US-NY-053","Madison","subnational2",270,12023
"1037","US-NY-021","Columbia","subnational2",263,8873
"1038","US-NY-051","Livingston","subnational2",263,17535
"1039","US-NY-083","Rensselaer","subnational2",261,11941
"1040","US-NY-043","Herkimer","subnational2",251,19398
"1041","US-NY-097","Schuyler","subnational2",250,5156
"1042","US-NY-115","Washington","subnational2",250,6503
"1043","US-NY-009","Cattaraugus","subnational2",248,8155
"1044","US-NY-033","Franklin","subnational2",246,8088
"1045","US-NY-015","Chemung","subnational2",245,17450
"1046","US-NY-023","Cortland","subnational2",243,6178
"1047","US-NY-095","Schoharie","subnational2",241,3391
"1048","US-NY-123","Yates","subnational2",240,3527
"1049","US-NY-093","Schenectady","subnational2",239,4154
"1050","US-NY-121","Wyoming","subnational2",239,2620
"1051","US-NY-017","Chenango","subnational2",238,3658
"1052","US-NY-107","Tioga","subnational2",234,9466
"1053","US-NY-101","Steuben","subnational2",232,8462
"1054","US-NY-025","Delaware","subnational2",231,5710
"1055","US-NY-003","Allegany","subnational2",229,3155
"1056","US-NY-079","Putnam","subnational2",229,2938
"1057","US-NY-113","Warren","subnational2",229,3647
"1058","US-NY-057","Montgomery","subnational2",228,3958
"1059","US-NY-077","Otsego","subnational2",227,5236
"1060","US-NY-049","Lewis","subnational2",224,2363
"1061","US-NY-035","Fulton","subnational2",222,6197
"1062","US-NY-041","Hamilton","subnational2",212,6556
"1063","US-VA-131","Northampton","subnational2",412,16428
"1064","US-VA-001","Accomack","subnational2",384,23720
"1065","US-VA-810","Virginia Beach","subnational2",375,26812
"1066","US-VA-059","Fairfax","subnational2",313,78895
"1067","US-VA-095","James City","subnational2",308,13385
"1068","US-VA-153","Prince William","subnational2",301,21770
"1069","US-VA-740","Portsmouth","subnational2",290,2402
"1070","US-VA-710","Norfolk","subnational2",285,8258
"1071","US-VA-165","Rockingham","subnational2",278,20388
"1072","US-VA-061","Fauquier","subnational2",277,13669
"1073","US-VA-650","Hampton","subnational2",276,3488
"1074","US-VA-107","Loudoun","subnational2",272,12984
"1075","US-VA-181","Surry","subnational2",270,1389
"1076","US-VA-015","Augusta","subnational2",268,11669
"1077","US-VA-023","Botetourt","subnational2",266,5014
"1078","US-VA-073","Gloucester","subnational2",262,4799
"1079","US-VA-117","Mecklenburg","subnational2",261,4370
"1080","US-VA-800","Suffolk","subnational2",260,3543
"1081","US-VA-199","York","subnational2",258,4831
"1082","US-VA-193","Westmoreland","subnational2",256,2133
"1083","US-VA-041","Chesterfield","subnational2",254,10558
"1084","US-VA-099","King George","subnational2",253,3195
"1085","US-VA-003","Albemarle","subnational2",251,15929
"1086","US-VA-510","Alexandria","subnational2",250,7600
"1087","US-VA-087","Henrico","subnational2",249,9748
"1088","US-VA-115","Mathews","subnational2",248,1541
"1089","US-VA-770","Roanoke City","subnational2",247,2187
"1090","US-VA-036","Charles City","subnational2",246,2203
"1091","US-VA-121","Montgomery","subnational2",244,14708
"1092","US-VA-083","Halifax","subnational2",243,3287
"1093","US-VA-155","Pulaski","subnational2",243,4276
"1094","US-VA-163","Rockbridge","subnational2",243,3345
"1095","US-VA-147","Prince Edward","subnational2",242,7498
"1096","US-VA-043","Clarke","subnational2",240,3854
"1097","US-VA-013","Arlington","subnational2",239,8561
"1098","US-VA-093","Isle of Wight","subnational2",239,1670
"1099","US-VA-133","Northumberland","subnational2",239,1194
"1100","US-VA-550","Chesapeake","subnational2",237,3781
"1101","US-VA-101","King William","subnational2",235,1330
"1102","US-VA-700","Newport News","subnational2",235,4077
"1103","US-VA-750","Radford","subnational2",232,10733
"1104","US-VA-760","Richmond City","subnational2",232,10855
"1105","US-VA-171","Shenandoah","subnational2",230,5552
"1106","US-VA-019","Bedford","subnational2",229,3456
"1107","US-VA-069","Frederick","subnational2",227,3281
"1108","US-VA-161","Roanoke","subnational2",227,4752
"1109","US-VA-047","Culpeper","subnational2",226,2794
"1110","US-VA-159","Richmond","subnational2",226,1037
"1111","US-VA-091","Highland","subnational2",221,3591
"1112","US-VA-009","Amherst","subnational2",220,2013
"1113","US-VA-191","Washington","subnational2",219,891
"1114","US-VA-790","Staunton","subnational2",217,1593
"1115","US-VA-109","Louisa","subnational2",216,2363
"1116","US-VA-185","Tazewell","subnational2",216,1330
"1117","US-VA-179","Stafford","subnational2",213,1857
"1118","US-VA-197","Wythe","subnational2",212,841
"1119","US-VA-103","Lancaster","subnational2",211,1110
"1120","US-VA-187","Warren","subnational2",210,2080
"1121","US-VA-139","Page","subnational2",209,2016
"1122","US-VA-137","Orange","subnational2",208,975
"1123","US-VA-017","Bath","subnational2",205,843
"1124","US-VA-830","Williamsburg","subnational2",205,2678
"1125","US-VA-149","Prince George","subnational2",204,1207
"1126","US-VA-680","Lynchburg","subnational2",203,1169
"1127","US-VA-125","Nelson","subnational2",201,1860
"1128","US-VA-157","Rappahannock","subnational2",201,954
"1129","US-VA-173","Smyth","subnational2",201,603
"1130","US-VA-177","Spotsylvania","subnational2",201,1261
"1131","US-VA-077","Grayson","subnational2",199,1530
"1132","US-VA-029","Buckingham","subnational2",197,1623
"1133","US-VA-067","Franklin","subnational2",197,3375
"1134","US-VA-085","Hanover","subnational2",197,1963
"1135","US-VA-167","Russell","subnational2",197,542
"1136","US-VA-145","Powhatan","subnational2",195,2980
"1137","US-VA-079","Greene","subnational2",193,1646
"1138","US-VA-065","Fluvanna","subnational2",192,2506
"1139","US-VA-540","Charlottesville","subnational2",191,3855
"1140","US-VA-113","Madison","subnational2",190,2282
"1141","US-VA-057","Essex","subnational2",189,553
"1142","US-VA-735","Poquoson","subnational2",189,618
"1143","US-VA-033","Caroline","subnational2",188,750
"1144","US-VA-127","New Kent","subnational2",188,1146
"1145","US-VA-141","Patrick","subnational2",185,1870
"1146","US-VA-660","Harrisonburg","subnational2",184,2110
"1147","US-VA-097","King and Queen","subnational2",184,686
"1148","US-VA-011","Appomattox","subnational2",183,1777
"1149","US-VA-035","Carroll","subnational2",183,850
"1150","US-VA-590","Danville","subnational2",182,842
"1151","US-VA-031","Campbell","subnational2",181,749
"1152","US-VA-119","Middlesex","subnational2",181,516
"1153","US-VA-820","Waynesboro","subnational2",181,966
"1154","US-VA-005","Alleghany","subnational2",180,658
"1155","US-VA-037","Charlotte","subnational2",180,625
"1156","US-VA-071","Giles","subnational2",179,1251
"1157","US-VA-143","Pittsylvania","subnational2",177,1709
"1158","US-VA-027","Buchanan","subnational2",174,742
"1159","US-VA-670","Hopewell","subnational2",174,417
"1160","US-VA-630","Fredericksburg","subnational2",173,961
"1161","US-VA-775","Salem","subnational2",173,769
"1162","US-VA-195","Wise","subnational2",173,843
"1163","US-VA-063","Floyd","subnational2",172,2160
"1164","US-VA-049","Cumberland","subnational2",171,758
"1165","US-VA-045","Craig","subnational2",169,523
"1166","US-VA-053","Dinwiddie","subnational2",169,504
"1167","US-VA-075","Goochland","subnational2",169,879
"1168","US-VA-007","Amelia","subnational2",164,604
"1169","US-VA-111","Lunenburg","subnational2",163,548
"1170","US-VA-600","Fairfax City","subnational2",160,5082
"1171","US-VA-051","Dickenson","subnational2",159,790
"1172","US-VA-175","Southampton","subnational2",159,514
"1173","US-VA-183","Sussex","subnational2",157,1535
"1174","US-VA-520","Bristol","subnational2",154,587
"1175","US-VA-683","Manassas","subnational2",149,506
"1176","US-VA-081","Greensville","subnational2",147,257
"1177","US-VA-089","Henry","subnational2",147,401
"1178","US-VA-840","Winchester","subnational2",146,308
"1179","US-VA-021","Bland","subnational2",140,261
"1180","US-VA-570","Colonial Heights","subnational2",139,423
"1181","US-VA-105","Lee","subnational2",137,323
"1182","US-VA-135","Nottoway","subnational2",137,539
"1183","US-VA-530","Buena Vista","subnational2",135,143
"1184","US-VA-169","Scott","subnational2",134,150
"1185","US-VA-025","Brunswick","subnational2",130,212
"1186","US-VA-620","Franklin City","subnational2",125,205
"1187","US-VA-730","Petersburg","subnational2",122,150
"1188","US-VA-690","Martinsville","subnational2",112,84
"1189","US-VA-580","Covington","subnational2",109,101
"1190","US-VA-678","Lexington","subnational2",108,170
"1191","US-VA-610","Falls Church","subnational2",104,308
"1192","US-VA-595","Emporia","subnational2",100,107
"1193","US-VA-640","Galax","subnational2",90,48
"1194","US-VA-720","Norton","subnational2",81,52
"1195","US-VA-685","Manassas Park","subnational2",70,49
"1196","US-NC-055","Dare","subnational2",420,36953
"1197","US-NC-031","Carteret","subnational2",375,7566
"1198","US-NC-129","New Hanover","subnational2",363,12810
"1199","US-NC-019","Brunswick","subnational2",356,6506
"1200","US-NC-095","Hyde","subnational2",345,4301
"1201","US-NC-183","Wake","subnational2",314,33382
"1202","US-NC-053","Currituck","subnational2",308,2785
"1203","US-NC-037","Chatham","subnational2",307,6978
"1204","US-NC-119","Mecklenburg","subnational2",303,21137
"1205","US-NC-133","Onslow","subnational2",300,2153
"1206","US-NC-063","Durham","subnational2",289,26251
"1207","US-NC-089","Henderson","subnational2",288,5937
"1208","US-NC-049","Craven","subnational2",287,2664
"1209","US-NC-067","Forsyth","subnational2",279,22864
"1210","US-NC-141","Pender","subnational2",279,2107
"1211","US-NC-187","Washington","subnational2",278,3984
"1212","US-NC-081","Guilford","subnational2",276,11416
"1213","US-NC-021","Buncombe","subnational2",271,16985
"1214","US-NC-175","Transylvania","subnational2",271,4861
"1215","US-NC-013","Beaufort","subnational2",265,1134
"1216","US-NC-135","Orange","subnational2",261,14259
"1217","US-NC-137","Pamlico","subnational2",256,3068
"1218","US-NC-035","Catawba","subnational2",251,2786
"1219","US-NC-125","Moore","subnational2",250,2699
"1220","US-NC-147","Pitt","subnational2",249,1564
"1221","US-NC-191","Wayne","subnational2",246,325
"1222","US-NC-087","Haywood","subnational2",242,4604
"1223","US-NC-177","Tyrrell","subnational2",237,1140
"1224","US-NC-025","Cabarrus","subnational2",236,3885
"1225","US-NC-193","Wilkes","subnational2",236,2259
"1226","US-NC-195","Wilson","subnational2",236,1328
"1227","US-NC-051","Cumberland","subnational2",233,3183
"1228","US-NC-157","Rockingham","subnational2",230,5707
"1229","US-NC-189","Watauga","subnational2",226,6287
"1230","US-NC-027","Caldwell","subnational2",225,1054
"1231","US-NC-071","Gaston","subnational2",225,2878
"1232","US-NC-077","Granville","subnational2",222,701
"1233","US-NC-083","Halifax","subnational2",220,634
"1234","US-NC-007","Anson","subnational2",219,805
"1235","US-NC-097","Iredell","subnational2",216,1848
"1236","US-NC-179","Union","subnational2",214,4172
"1237","US-NC-045","Cleveland","subnational2",211,1100
"1238","US-NC-151","Randolph","subnational2",211,1346
"1239","US-NC-003","Alexander","subnational2",208,879
"1240","US-NC-023","Burke","subnational2",208,1348
"1241","US-NC-065","Edgecombe","subnational2",208,752
"1242","US-NC-017","Bladen","subnational2",207,695
"1243","US-NC-099","Jackson","subnational2",207,2906
"1244","US-NC-029","Camden","subnational2",206,990
"1245","US-NC-173","Swain","subnational2",206,1817
"1246","US-NC-145","Person","subnational2",205,1748
"1247","US-NC-149","Polk","subnational2",204,1051
"1248","US-NC-001","Alamance","subnational2",201,3020
"1249","US-NC-011","Avery","subnational2",201,2325
"1250","US-NC-101","Johnston","subnational2",201,1824
"1251","US-NC-131","Northampton","subnational2",201,267
"1252","US-NC-113","Macon","subnational2",200,2456
"1253","US-NC-171","Surry","subnational2",199,1755
"1254","US-NC-153","Richmond","subnational2",194,497
"1255","US-NC-159","Rowan","subnational2",194,1639
"1256","US-NC-085","Harnett","subnational2",193,1008
"1257","US-NC-111","McDowell","subnational2",193,1151
"1258","US-NC-005","Alleghany","subnational2",192,706
"1259","US-NC-169","Stokes","subnational2",192,1300
"1260","US-NC-167","Stanly","subnational2",189,932
"1261","US-NC-197","Yadkin","subnational2",189,582
"1262","US-NC-199","Yancey","subnational2",189,3525
"1263","US-NC-047","Columbus","subnational2",188,287
"1264","US-NC-127","Nash","subnational2",187,745
"1265","US-NC-161","Rutherford","subnational2",185,655
"1266","US-NC-115","Madison","subnational2",183,2000
"1267","US-NC-009","Ashe","subnational2",181,1657
"1268","US-NC-057","Davidson","subnational2",181,893
"1269","US-NC-109","Lincoln","subnational2",176,388
"1270","US-NC-165","Scotland","subnational2",176,229
"1271","US-NC-069","Franklin","subnational2",175,550
"1272","US-NC-073","Gates","subnational2",175,381
"1273","US-NC-059","Davie","subnational2",173,888
"1274","US-NC-075","Graham","subnational2",173,887
"1275","US-NC-181","Vance","subnational2",169,297
"1276","US-NC-121","Mitchell","subnational2",166,918
"1277","US-NC-123","Montgomery","subnational2",166,600
"1278","US-NC-117","Martin","subnational2",165,306
"1279","US-NC-033","Caswell","subnational2",164,343
"1280","US-NC-039","Cherokee","subnational2",164,427
"1281","US-NC-103","Jones","subnational2",164,200
"1282","US-NC-043","Clay","subnational2",163,307
"1283","US-NC-139","Pasquotank","subnational2",163,329
"1284","US-NC-163","Sampson","subnational2",162,357
"1285","US-NC-015","Bertie","subnational2",160,195
"1286","US-NC-185","Warren","subnational2",157,254
"1287","US-NC-093","Hoke","subnational2",154,320
"1288","US-NC-105","Lee","subnational2",150,719
"1289","US-NC-155","Robeson","subnational2",148,617
"1290","US-NC-041","Chowan","subnational2",140,219
"1291","US-NC-061","Duplin","subnational2",138,197
"1292","US-NC-107","Lenoir","subnational2",137,197
"1293","US-NC-143","Perquimans","subnational2",134,165
"1294","US-NC-091","Hertford","subnational2",119,77
"1295","US-NC-079","Greene","subnational2",116,116
"1296","US-NV-003","Clark","subnational2",418,31165
"1297","US-NV-023","Nye","subnational2",346,8869
"1298","US-NV-017","Lincoln","subnational2",337,3630
"1299","US-NV-009","Esmeralda","subnational2",332,1848
"1300","US-NV-031","Washoe","subnational2",327,19349
"1301","US-NV-007","Elko","subnational2",299,6342
"1302","US-NV-001","Churchill","subnational2",289,4241
"1303","US-NV-033","White Pine","subnational2",267,6004
"1304","US-NV-019","Lyon","subnational2",264,2951
"1305","US-NV-005","Douglas","subnational2",257,4386
"1306","US-NV-510","Carson City","subnational2",255,3447
"1307","US-NV-021","Mineral","subnational2",252,647
"1308","US-NV-013","Humboldt","subnational2",232,2984
"1309","US-NV-027","Pershing","subnational2",229,692
"1310","US-NV-015","Lander","subnational2",216,1638
"1311","US-NV-011","Eureka","subnational2",194,655
"1312","US-NV-029","Storey","subnational2",191,1417
"1313","US-NJ-009","Cape May","subnational2",428,124488
"1314","US-NJ-025","Monmouth","subnational2",388,34314
"1315","US-NJ-029","Ocean","subnational2",382,35288
"1316","US-NJ-001","Atlantic","subnational2",370,27209
"1317","US-NJ-011","Cumberland","subnational2",340,13374
"1318","US-NJ-003","Bergen","subnational2",333,41224
"1319","US-NJ-005","Burlington","subnational2",321,21210
"1320","US-NJ-033","Salem","subnational2",319,8143
"1321","US-NJ-019","Hunterdon","subnational2",317,31604
"1322","US-NJ-017","Hudson","subnational2",314,10916
"1323","US-NJ-023","Middlesex","subnational2",309,19580
"1324","US-NJ-037","Sussex","subnational2",303,15003
"1325","US-NJ-027","Morris","subnational2",296,28405
"1326","US-NJ-015","Gloucester","subnational2",292,17218
"1327","US-NJ-035","Somerset","subnational2",292,23513
"1328","US-NJ-041","Warren","subnational2",291,9109
"1329","US-NJ-021","Mercer","subnational2",289,28251
"1330","US-NJ-031","Passaic","subnational2",269,17122
"1331","US-NJ-013","Essex","subnational2",265,8432
"1332","US-NJ-039","Union","subnational2",263,8646
"1333","US-NJ-007","Camden","subnational2",252,10424
"1334","US-LA-023","Cameron","subnational2",401,17050
"1335","US-LA-075","Plaquemines","subnational2",347,4488
"1336","US-LA-051","Jefferson","subnational2",346,13751
"1337","US-LA-071","Orleans","subnational2",339,14398
"1338","US-LA-017","Caddo","subnational2",334,8734
"1339","US-LA-113","Vermilion","subnational2",331,2262
"1340","US-LA-103","St. Tammany","subnational2",327,14820
"1341","US-LA-033","East Baton Rouge","subnational2",310,13892
"1342","US-LA-109","Terrebonne","subnational2",309,2495
"1343","US-LA-019","Calcasieu","subnational2",305,4262
"1344","US-LA-047","Iberville","subnational2",301,2543
"1345","US-LA-055","Lafayette","subnational2",300,3941
"1346","US-LA-057","Lafourche","subnational2",300,2642
"1347","US-LA-079","Rapides","subnational2",296,5292
"1348","US-LA-053","Jefferson Davis","subnational2",294,4164
"1349","US-LA-099","St. Martin","subnational2",290,4366
"1350","US-LA-001","Acadia","subnational2",287,1182
"1351","US-LA-015","Bossier","subnational2",286,1728
"1352","US-LA-087","St. Bernard","subnational2",277,1096
"1353","US-LA-089","St. Charles","subnational2",277,1431
"1354","US-LA-095","St. John the Baptist","subnational2",277,1872
"1355","US-LA-081","Red River","subnational2",276,865
"1356","US-LA-069","Natchitoches","subnational2",269,962
"1357","US-LA-073","Ouachita","subnational2",269,3805
"1358","US-LA-045","Iberia","subnational2",268,609
"1359","US-LA-101","St. Mary","subnational2",267,602
"1360","US-LA-077","Pointe Coupee","subnational2",262,625
"1361","US-LA-027","Claiborne","subnational2",261,2140
"1362","US-LA-031","De Soto","subnational2",261,1321
"1363","US-LA-111","Union","subnational2",260,2087
"1364","US-LA-097","St. Landry","subnational2",258,943
"1365","US-LA-039","Evangeline","subnational2",254,720
"1366","US-LA-059","La Salle","subnational2",248,1050
"1367","US-LA-067","Morehouse","subnational2",237,716
"1368","US-LA-065","Madison","subnational2",236,430
"1369","US-LA-105","Tangipahoa","subnational2",235,1102
"1370","US-LA-005","Ascension","subnational2",234,859
"1371","US-LA-121","West Baton Rouge","subnational2",224,266
"1372","US-LA-063","Livingston","subnational2",223,898
"1373","US-LA-083","Richland","subnational2",223,498
"1374","US-LA-125","West Feliciana","subnational2",221,491
"1375","US-LA-115","Vernon","subnational2",218,1336
"1376","US-LA-085","Sabine","subnational2",217,480
"1377","US-LA-093","St. James","subnational2",217,659
"1378","US-LA-043","Grant","subnational2",214,547
"1379","US-LA-025","Catahoula","subnational2",208,193
"1380","US-LA-009","Avoyelles","subnational2",206,364
"1381","US-LA-107","Tensas","subnational2",205,193
"1382","US-LA-011","Beauregard","subnational2",203,508
"1383","US-LA-003","Allen","subnational2",201,276
"1384","US-LA-117","Washington","subnational2",201,1631
"1385","US-LA-061","Lincoln","subnational2",200,682
"1386","US-LA-029","Concordia","subnational2",199,331
"1387","US-LA-035","East Carroll","subnational2",197,224
"1388","US-LA-049","Jackson","subnational2",196,354
"1389","US-LA-119","Webster","subnational2",193,256
"1390","US-LA-021","Caldwell","subnational2",189,170
"1391","US-LA-013","Bienville","subnational2",187,153
"1392","US-LA-041","Franklin","subnational2",180,143
"1393","US-LA-007","Assumption","subnational2",172,147
"1394","US-LA-123","West Carroll","subnational2",166,185
"1395","US-LA-037","East Feliciana","subnational2",162,224
"1396","US-LA-127","Winn","subnational2",155,176
"1397","US-LA-091","St. Helena","subnational2",142,139
"1398","US-UT-053","Washington","subnational2",386,20306
"1399","US-UT-011","Davis","subnational2",341,25456
"1400","US-UT-049","Utah","subnational2",332,31265
"1401","US-UT-035","Salt Lake","subnational2",330,40270
"1402","US-UT-005","Cache","subnational2",317,22745
"1403","US-UT-003","Box Elder","subnational2",312,10096
"1404","US-UT-023","Juab","subnational2",309,2494
"1405","US-UT-057","Weber","subnational2",306,5982
"1406","US-UT-021","Iron","subnational2",289,3016
"1407","US-UT-047","Uintah","subnational2",286,3855
"1408","US-UT-027","Millard","subnational2",277,1787
"1409","US-UT-019","Grand","subnational2",274,6611
"1410","US-UT-043","Summit","subnational2",270,6788
"1411","US-UT-051","Wasatch","subnational2",267,4734
"1412","US-UT-013","Duchesne","subnational2",266,2079
"1413","US-UT-017","Garfield","subnational2",265,4678
