"","region_code","region_name","region_level","n_species","n_checklists"
"124","CA-BC-CC","Central Coast","subnational2",240,1154
"125","CA-BC-KB","Kootenay Boundary","subnational2",232,3249
"126","CA-BC-NR","Northern Rockies","subnational2",230,1769
"127","CA-BC-ST","Stikine","subnational2",205,1632
"128","CA-ON-NF","Norfolk","subnational2",400,32217
"129","CA-ON-ES","Essex","subnational2",399,45912
"130","CA-ON-HA","Hamilton","subnational2",368,30823
"131","CA-ON-NG","Niagara","subnational2",367,31718
"132","CA-ON-TO","Toronto","subnational2",366,57961
"133","CA-ON-KT","Chatham-Kent","subnational2",361,18828
"134","CA-ON-DR","Durham","subnational2",359,32879
"135","CA-ON-HT","Halton","subnational2",352,29278
"136","CA-ON-TB","Thunder Bay","subnational2",351,20435
"137","CA-ON-NU","Northumberland","subnational2",350,41128
"138","CA-ON-OT","Ottawa","subnational2",341,87207
"139","CA-ON-LM","Lambton","subnational2",332,12922
"140","CA-ON-BC","Bruce","subnational2",331,15940
"141","CA-ON-PE","Prince Edward","subnational2",325,16325
"142","CA-ON-AL","Algoma","subnational2",322,17887
"143","CA-ON-LA","Lennox and Addington","subnational2",322,15327
"144","CA-ON-PL","Peel","subnational2",322,21238
"145","CA-ON-EL","Elgin","subnational2",313,24205
"146","CA-ON-CO","Cochrane","subnational2",310,13622
"147","CA-ON-FR","Frontenac","subnational2",310,43821
"148","CA-ON-OX","Oxford","subnational2",308,5454
"149","CA-ON-HD","Haldimand","subnational2",306,9834
"150","CA-ON-SC","Simcoe","subnational2",305,20032
"151","CA-ON-MI","Middlesex","subnational2",304,21534
"152","CA-ON-WT","Waterloo","subnational2",304,33913
"153","CA-ON-RE","Renfrew","subnational2",301,13411
"154","CA-ON-WL","Wellington","subnational2",300,33208
"155","CA-ON-PB","Peterborough","subnational2",298,62425
"156","CA-ON-MU","Muskoka","subnational2",296,12701
"157","CA-ON-NP","Nipissing","subnational2",295,31473
"158","CA-ON-RR","Rainy River","subnational2",295,7571
"159","CA-ON-KR","Kenora","subnational2",294,13608
"160","CA-ON-YO","York","subnational2",293,15924
"161","CA-ON-LG","Leeds and Grenville","subnational2",287,18890
"162","CA-ON-SD","Stormont, Dundas and Glengarry","subnational2",286,14247
"163","CA-ON-PR","Prescott and Russell","subnational2",281,6257
"164","CA-ON-GR","Grey","subnational2",278,6684
"165","CA-ON-LN","Lanark","subnational2",277,9436
"166","CA-ON-MA","Manitoulin","subnational2",276,5618
"167","CA-ON-VI","Kawartha Lakes","subnational2",275,16281
"168","CA-ON-HS","Hastings","subnational2",271,13502
"169","CA-ON-PS","Parry Sound","subnational2",270,7661
"170","CA-ON-HU","Huron","subnational2",264,3844
"171","CA-ON-TI","Timiskaming","subnational2",261,15774
"172","CA-ON-PT","Perth","subnational2",260,13008
"173","CA-ON-BN","Brant","subnational2",258,4140
"174","CA-ON-DF","Dufferin","subnational2",252,4561
"175","CA-ON-SU","Greater Sudbury","subnational2",249,6770
"176","CA-ON-HB","Haliburton","subnational2",234,8551
"177","CA-ON-SB","Sudbury","subnational2",222,5538
"178","CA-QC-HC","La Haute-Côte-Nord","subnational2",342,14564
"179","CA-QC-RM","Rimouski-Neigette","subnational2",339,39057
"180","CA-QC-PB","Le Rocher-Percé","subnational2",315,9133
"181","CA-QC-MR","Montréal","subnational2",314,46024
"182","CA-QC-CB","La Côte-de-Beaupré","subnational2",313,10355
"183","CA-QC-QU","Québec","subnational2",313,41392
"184","CA-QC-MN","Manicouagan","subnational2",311,6284
"185","CA-QC-KA","Kamouraska","subnational2",306,13728
"186","CA-QC-OU","Gatineau","subnational2",298,13284
